Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc6537,11.22,30.18,0.00,1.42,1.14,1.93,1.91,1.16,0.51,1.95,1.72,1.66,7.87,0.49,-0.54,-1.02,-0.02,-0.12,0.80,1.31,-1.00,0.70,-1.88,1.36,1.41,1.41,2.22,0.15,0.95,-0.12,1.54,-0.33,0.03,-0.27,0.41,0.67,0.67,0.67,1.63,1.20,0.45,0.02,1.42,0.18,10.79,-0.32,-0.04,-0.27,0.18,11.22,
frc4777,17.17,22.41,0.00,4.81,0.97,1.66,1.66,1.69,0.65,1.03,1.56,0.72,3.82,-3.49,-1.11,-1.59,1.69,1.11,1.14,-0.50,2.47,3.96,5.57,1.56,1.56,1.75,2.12,-0.61,0.77,-0.48,0.40,-0.13,0.68,-0.42,0.38,0.67,0.67,0.67,1.32,2.05,1.68,0.46,4.81,-0.04,9.89,-0.20,-0.40,-0.39,-0.26,17.17,
frc5406,35.87,13.87,0.00,5.42,0.99,-0.78,1.43,1.53,0.85,1.81,-0.33,1.33,12.14,5.09,4.65,1.92,2.09,4.20,4.64,0.69,0.99,10.87,21.09,1.50,1.57,1.75,6.46,1.52,2.54,1.45,2.21,0.56,-0.01,0.63,-0.14,0.67,0.67,0.67,1.28,2.44,1.86,2.11,5.42,0.22,29.46,1.46,1.04,1.47,0.96,35.87,
frc6330,6.57,19.56,0.00,1.48,-0.12,0.96,0.99,0.44,-0.62,1.59,0.90,0.85,0.79,-1.83,-0.17,-0.90,1.22,1.20,1.46,-0.19,-0.26,3.96,3.53,0.96,1.19,1.22,0.59,-0.27,0.25,0.27,-0.05,-0.22,0.34,-0.23,0.10,0.67,0.67,0.67,1.39,2.05,1.84,-0.06,1.48,0.01,5.34,0.15,-0.02,0.20,0.20,6.57,
frc2200,31.33,19.43,0.00,2.77,1.28,1.45,1.65,1.28,1.96,1.25,1.86,1.81,13.12,4.74,0.97,4.68,2.73,3.30,2.57,0.88,1.32,8.10,17.06,1.15,1.77,1.69,6.02,1.25,1.36,1.48,1.50,0.45,0.51,0.51,1.05,0.67,0.67,0.67,1.38,0.89,1.09,1.12,2.77,-0.03,27.24,0.39,0.78,0.43,0.69,31.33,
frc4907,24.12,26.81,0.00,3.37,0.80,0.84,1.69,1.86,1.63,0.64,1.42,1.43,4.96,0.52,-0.25,-1.32,2.98,3.39,3.81,0.18,1.57,10.26,21.47,1.71,1.58,1.69,3.97,0.34,-0.71,0.36,0.44,0.28,-0.53,0.32,-0.54,0.67,0.67,0.67,0.96,1.25,1.33,1.13,3.37,-0.04,19.18,0.16,-0.25,0.09,-0.37,24.12,
frc7456,18.80,14.25,0.00,3.52,1.48,1.93,1.85,1.45,1.74,1.63,1.69,1.62,9.32,0.65,-0.04,2.17,2.47,0.64,-0.33,-0.41,0.55,2.84,-0.34,1.78,1.62,1.64,2.56,0.56,0.75,0.31,0.68,-0.13,0.12,-0.25,0.20,0.67,0.67,0.67,0.48,1.76,1.15,0.44,3.52,0.09,14.73,0.03,0.34,-0.16,0.42,18.80,
frc6513,11.41,16.39,0.00,4.74,1.78,1.03,1.67,2.19,1.02,1.25,0.12,0.32,4.82,2.21,-0.84,0.88,2.23,-0.69,-1.14,0.54,-1.41,0.44,-1.87,1.62,1.70,1.70,2.82,0.83,-0.01,1.18,0.31,0.07,-0.06,-0.13,-0.11,0.67,0.67,0.67,2.02,1.10,1.75,0.18,4.74,-0.06,8.08,-0.21,0.08,-0.14,0.03,11.41,
frc3543,11.07,23.20,0.00,3.33,1.14,1.61,1.92,-0.03,0.53,2.06,1.62,1.47,6.43,3.40,4.12,-1.17,0.17,0.19,-0.49,0.25,1.46,-0.10,0.00,1.24,1.76,1.23,-0.04,0.44,-0.24,0.12,-0.23,0.33,-0.50,0.33,-0.27,0.67,0.67,0.67,1.89,1.45,1.57,-0.03,3.33,0.03,6.28,0.45,-0.11,0.53,-0.38,11.07,
frc4902,15.53,21.04,0.00,4.46,1.50,2.28,1.68,0.48,1.58,1.45,2.10,1.68,7.07,0.14,-1.50,-2.74,0.57,0.55,0.85,-0.02,1.86,1.47,-2.13,0.81,1.76,1.61,0.68,0.66,-0.40,0.82,-1.22,0.75,-0.33,0.69,-0.62,0.67,0.67,0.67,1.53,1.84,1.51,0.12,4.46,0.16,9.21,0.13,-0.54,-0.25,-0.59,15.53,
frc6323,22.55,20.32,0.00,5.21,1.89,1.44,1.57,1.08,2.40,0.68,1.61,1.34,8.70,3.27,-1.21,2.41,2.54,1.48,-0.20,0.02,1.23,3.88,3.53,1.82,1.59,1.73,3.52,-0.05,1.29,0.39,1.53,-0.56,1.10,-0.36,0.86,0.67,0.67,0.67,2.01,1.34,1.75,0.64,5.21,-0.09,16.11,-0.40,0.25,-0.35,0.55,22.55,
frc3161,19.62,17.80,0.00,4.31,1.39,1.13,1.10,1.26,1.13,0.45,1.35,1.36,5.59,-0.48,0.09,0.30,0.41,1.77,0.42,-0.04,2.84,2.66,-0.67,1.97,1.58,1.78,4.21,0.50,1.91,0.67,1.55,0.03,-0.13,0.05,-0.12,0.67,0.67,0.67,0.87,1.03,1.96,0.29,4.31,-0.03,12.47,-0.07,0.02,-0.08,-0.04,19.62,
frc1075,20.65,8.84,0.00,4.90,1.43,1.74,1.44,0.05,1.82,0.38,0.96,1.27,3.88,-2.44,1.26,-2.39,2.28,3.48,3.66,-0.35,1.00,9.38,14.34,1.50,1.56,1.74,1.48,0.58,0.44,0.11,0.37,-0.09,-0.38,-0.09,-0.12,0.67,0.67,0.67,2.10,1.44,1.85,0.86,4.90,0.04,14.75,-0.10,-0.56,-0.09,-0.44,20.65,
frc6978,11.12,24.09,0.00,3.27,1.46,1.78,0.76,1.09,0.83,0.59,0.69,1.06,2.98,0.89,0.82,-2.05,0.90,2.11,0.82,0.79,-1.05,3.82,1.01,1.64,1.69,1.73,2.10,-0.91,0.42,-0.19,0.41,0.20,-0.20,0.29,-0.15,0.67,0.67,0.67,1.54,0.40,1.40,-0.01,3.27,-0.09,8.89,-0.01,-0.26,0.07,-0.01,11.12,
frc2386,29.66,17.88,0.00,5.14,1.32,1.20,1.48,0.36,0.54,1.18,0.88,1.11,9.58,2.58,4.11,-1.12,5.59,1.24,2.03,0.05,1.61,8.95,17.68,1.64,1.71,1.72,4.39,1.65,1.36,1.17,1.38,0.74,0.75,0.54,0.28,0.67,0.67,0.67,2.03,2.08,1.01,1.52,5.14,-0.02,22.92,0.88,0.17,0.92,-0.12,29.66,
frc6865,13.47,15.37,0.00,4.37,0.79,1.24,0.69,1.09,0.09,1.10,1.46,1.14,2.07,-3.41,-1.23,-1.80,1.59,1.47,1.40,-0.39,0.62,4.49,5.51,1.71,1.76,1.78,1.92,0.76,-0.34,1.59,-0.35,0.51,-0.40,0.29,-0.28,0.67,0.67,0.67,1.80,0.79,1.33,0.29,4.37,0.02,8.48,-0.11,-0.43,-0.24,-0.49,13.47,
frc6854,17.31,25.82,0.00,4.27,1.79,1.60,0.34,0.01,0.70,1.06,1.48,0.83,4.80,-0.35,-0.60,-1.79,-0.26,1.01,2.64,0.11,-0.65,3.46,3.90,1.84,1.52,1.66,5.43,0.59,1.49,0.62,1.70,-0.09,0.64,0.03,0.84,0.67,0.67,0.67,1.97,1.72,0.81,0.01,4.27,-0.03,13.69,0.19,-0.18,-0.27,0.02,17.31,
frc2056,52.64,19.38,0.00,5.56,1.32,-0.08,0.52,1.69,1.63,1.55,0.64,1.01,18.54,17.53,7.09,14.09,3.44,4.52,3.60,-0.25,3.39,11.60,23.61,1.80,1.66,1.74,13.57,1.32,2.73,1.65,2.86,1.77,2.24,2.19,2.70,0.67,0.67,0.67,1.84,1.81,1.54,2.61,5.56,0.14,43.70,1.62,2.50,1.17,2.47,52.64,
frc4618,16.29,19.21,0.00,4.43,1.91,1.93,1.55,0.87,-0.80,0.58,1.02,0.74,6.80,3.00,1.19,2.67,1.68,0.47,0.91,0.57,-0.81,3.13,1.54,1.81,1.67,1.71,2.74,1.10,0.18,0.80,0.65,0.71,0.40,0.57,0.50,0.67,0.67,0.67,1.30,1.64,1.11,0.36,4.43,-0.05,12.67,0.10,0.35,0.22,0.33,16.29,
