Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc6665,14.76,20.07,0.00,5.72,0.23,0.75,1.11,1.21,0.69,1.15,1.66,1.23,4.08,0.90,-1.05,-0.49,-1.50,1.14,0.69,0.03,2.53,0.36,-2.34,1.83,1.16,1.77,2.06,0.00,0.54,-0.12,1.19,0.21,0.19,0.32,0.42,0.67,0.67,0.67,0.55,1.90,2.55,0.23,5.72,0.05,6.51,-0.35,-0.07,-0.50,0.15,14.76,
frc7419,28.71,22.50,0.00,5.98,1.63,1.15,2.17,2.13,3.05,1.22,2.32,1.68,9.83,-2.69,-1.52,-0.73,4.31,1.56,0.72,0.15,1.34,6.59,13.88,1.77,1.95,1.55,4.97,0.47,0.28,0.98,0.27,0.15,0.01,0.25,-0.08,0.67,0.67,0.67,2.33,2.10,1.03,0.80,5.98,0.18,21.39,0.21,-0.10,0.05,-0.06,28.71,
frc1351,6.12,12.48,0.00,3.34,1.68,1.40,1.47,0.54,0.23,1.81,0.88,1.85,5.08,-1.07,0.50,-0.55,-1.41,-1.14,-0.51,0.08,-0.34,-3.07,-9.77,1.61,1.37,1.80,1.11,0.61,-0.38,0.01,-0.17,0.49,-0.07,-0.05,-0.12,0.67,0.67,0.67,1.76,1.15,0.53,-0.50,3.34,0.02,3.12,-0.05,-0.02,0.12,-0.14,6.12,
frc751,14.59,11.02,0.00,6.04,1.50,0.89,1.53,0.37,-0.31,1.88,1.58,0.47,4.51,4.34,-0.12,0.62,0.98,1.93,0.47,-0.29,-0.74,3.34,1.36,1.64,1.93,1.80,1.44,0.05,0.42,-0.14,0.16,0.18,0.36,-0.02,0.38,0.67,0.67,0.67,2.03,2.04,1.57,0.76,6.04,-0.14,9.29,0.23,0.20,0.07,0.32,14.59,
frc2367,19.08,22.36,0.00,4.49,2.54,2.27,1.58,1.19,0.48,2.04,2.09,1.41,9.58,2.17,0.34,-0.82,1.05,0.52,2.43,-0.10,-0.48,4.06,4.62,1.43,0.65,2.05,1.43,1.32,-0.21,1.18,-0.36,0.44,-0.31,0.29,-0.58,0.67,0.67,0.67,2.66,1.88,1.22,0.97,4.49,0.01,15.07,0.21,-0.14,0.22,-0.41,19.08,
frc5737,9.05,11.85,0.00,4.30,0.64,1.16,1.03,0.86,-0.23,1.18,1.29,2.59,2.82,-0.62,-1.12,-0.69,-0.93,-2.03,2.36,0.99,1.87,-0.61,-4.01,1.67,1.72,1.41,0.68,-0.44,0.51,-0.11,0.68,-0.22,-0.30,-0.22,-0.31,0.67,0.67,0.67,1.60,1.32,1.40,0.02,4.30,0.18,2.88,-0.26,-0.11,0.27,-0.19,9.05,
frc841,12.04,19.08,0.00,4.66,1.56,1.74,1.50,0.14,0.27,1.79,1.33,1.34,5.37,-0.58,0.17,0.46,1.43,0.33,2.17,0.73,-1.03,3.95,-0.12,1.38,1.73,1.84,-0.91,0.07,-0.13,-0.06,-0.46,-0.22,0.05,-0.34,0.03,0.67,0.67,0.67,2.67,1.37,1.38,0.26,4.66,0.04,8.41,-0.05,0.15,0.04,0.06,12.04,
frc4669,20.18,15.79,0.00,4.16,1.29,1.60,1.40,0.94,1.85,1.15,1.23,1.14,6.44,2.63,6.01,-2.10,2.18,4.85,-0.61,0.57,0.50,6.43,9.97,1.98,1.59,1.71,2.64,0.67,-0.08,0.31,-0.21,0.98,-0.85,1.01,-0.79,0.67,0.67,0.67,0.75,1.64,1.14,0.84,4.16,0.10,15.51,1.19,-0.59,0.78,-0.61,20.18,
frc7308,9.96,12.45,0.00,5.23,0.64,1.06,1.10,0.96,0.13,1.41,0.93,0.64,1.94,1.21,-0.80,1.15,0.38,-0.32,2.43,-0.20,0.00,2.52,1.74,1.81,2.07,1.35,0.26,0.18,-0.10,-0.21,-0.40,-0.03,0.10,-0.03,0.11,0.67,0.67,0.67,1.46,0.36,2.02,0.46,5.23,0.08,4.73,-0.20,0.18,-0.15,0.23,9.96,
frc670,14.51,11.49,0.00,3.56,2.36,2.16,2.04,0.46,0.36,1.48,1.89,1.70,8.80,-2.38,0.15,-1.13,1.15,-0.66,0.22,0.18,-0.48,0.70,-0.65,1.62,1.49,1.52,1.93,-0.32,0.21,1.23,0.90,0.16,-0.12,0.37,-0.25,0.67,0.67,0.67,1.82,1.85,1.72,0.17,3.56,-0.07,11.44,0.53,-0.36,0.57,-0.41,14.51,
frc5831,14.84,22.96,0.00,4.12,0.93,1.54,1.43,0.50,0.43,2.21,0.72,0.38,2.41,1.81,0.60,0.41,1.43,0.53,2.52,0.16,1.21,4.49,1.71,1.49,1.54,1.66,2.61,-0.01,0.41,-0.46,0.10,0.34,-0.09,0.18,0.05,0.67,0.67,0.67,2.16,0.77,2.10,-0.10,4.12,-0.03,9.51,0.20,-0.07,0.22,0.12,14.84,
frc4159,18.18,21.45,0.00,5.60,2.01,1.25,1.95,0.78,1.22,1.13,1.12,1.36,6.02,0.63,-1.99,-0.41,-1.27,1.39,3.06,0.39,1.59,3.19,1.06,1.48,1.73,1.86,1.78,0.68,0.23,0.14,-0.05,-0.58,0.31,-0.80,0.54,0.67,0.67,0.67,1.90,1.52,2.07,0.47,5.60,0.04,10.99,-0.40,0.60,-0.71,0.62,18.18,
frc1868,29.59,19.53,0.00,5.15,1.83,2.35,1.95,2.56,1.92,2.35,2.09,2.43,11.86,-3.80,-1.24,-0.66,2.01,3.55,4.81,0.00,-1.10,10.37,21.23,1.61,1.59,1.74,3.30,0.21,0.77,0.09,0.30,0.01,0.19,0.26,0.21,0.67,0.67,0.67,1.58,2.21,1.59,1.66,5.15,0.02,25.53,-0.29,-0.24,-0.31,-0.15,29.59,
frc7736,8.41,16.62,0.00,2.04,1.42,1.40,1.76,-0.42,1.55,0.96,0.37,0.18,2.07,-1.09,-0.12,0.06,0.90,2.13,-0.61,0.26,1.45,2.41,1.08,1.02,1.21,1.74,0.44,0.02,-0.58,0.32,-0.65,0.31,-0.03,-0.01,0.08,0.67,0.67,0.67,0.28,1.51,1.16,0.20,2.04,0.11,4.91,-0.08,0.04,-0.20,0.10,8.41,
frc299,11.77,28.68,0.00,5.57,0.78,1.61,1.57,0.89,0.57,1.64,1.87,1.14,4.93,-2.10,0.98,-0.42,0.47,-0.68,0.94,0.88,-1.57,0.77,-6.47,1.75,1.70,1.69,2.06,-0.67,0.33,-0.68,1.09,0.00,0.10,0.18,0.41,0.67,0.67,0.67,2.23,1.68,1.44,-0.79,5.57,0.26,7.76,-0.03,0.11,0.13,0.12,11.77,
frc6619,14.81,16.03,0.00,5.41,0.60,1.39,1.09,-0.23,0.44,0.96,1.11,1.15,1.08,-2.38,-0.97,-0.30,1.71,2.66,0.78,1.85,3.70,5.17,5.50,1.53,1.78,1.70,-0.55,0.19,0.10,0.03,-0.61,-0.21,-0.06,-0.29,-0.29,0.67,0.67,0.67,2.02,2.64,1.09,0.29,5.41,-0.03,5.70,-0.31,-0.01,-0.17,-0.20,14.81,
frc840,7.41,17.10,0.00,2.97,0.82,0.90,0.88,0.14,-0.50,0.00,1.06,0.52,0.16,-0.86,0.09,-0.29,-0.73,1.50,0.65,0.84,2.93,1.37,1.23,1.55,0.96,1.70,-0.02,-0.28,-0.03,-0.64,0.69,-0.16,-0.11,-0.16,0.07,0.67,0.67,0.67,1.67,-0.14,1.62,0.06,2.97,0.06,1.51,-0.01,-0.08,-0.06,0.10,7.41,
frc5773,15.68,13.13,0.00,3.12,2.00,2.03,1.07,0.13,-0.27,1.86,1.98,1.80,6.84,-0.23,0.28,-0.70,0.76,3.23,0.30,0.79,0.22,4.25,3.32,1.61,1.73,1.19,1.25,0.91,-0.83,1.24,-1.14,0.55,-0.24,0.63,-0.26,0.67,0.67,0.67,0.89,1.19,1.68,0.87,3.12,-0.00,12.34,0.00,-0.12,0.12,-0.21,15.68,
frc5026,24.47,27.87,0.00,6.05,1.71,2.05,1.19,0.90,1.99,1.71,2.09,0.83,8.08,0.01,-0.62,0.70,2.61,4.98,2.32,0.31,-0.47,9.94,19.36,1.76,1.79,1.78,0.87,-0.53,0.47,-0.47,1.43,-0.21,0.28,-0.31,-0.27,0.67,0.67,0.67,1.90,1.63,2.06,0.65,6.05,0.01,18.89,-0.17,0.03,-0.24,-0.13,24.47,
frc6036,18.84,17.90,0.00,3.66,1.71,2.15,1.16,0.30,0.87,1.93,1.43,1.44,6.67,-0.34,1.14,-0.37,3.36,1.96,-0.72,0.02,2.90,4.62,2.21,1.85,1.73,1.10,0.99,-0.74,1.46,-0.82,1.22,-0.30,0.12,0.01,0.08,0.67,0.67,0.67,1.27,1.02,1.50,0.18,3.66,-0.07,12.28,0.07,-0.24,0.23,-0.17,18.84,
frc3482,21.68,15.28,0.00,4.27,1.39,1.33,1.11,1.95,2.01,1.62,1.54,2.11,6.22,-4.29,-1.92,-0.53,1.36,1.59,1.61,0.10,3.84,4.60,4.11,1.79,1.55,1.89,2.75,0.28,0.99,0.71,0.45,-0.57,-0.11,-0.45,-0.16,0.67,0.67,0.67,0.22,2.39,1.26,0.31,4.27,-0.01,13.57,-0.46,-0.11,-0.37,-0.20,21.68,
frc2489,12.34,15.62,0.00,5.53,1.04,0.58,0.48,0.57,1.55,1.16,0.18,-0.11,-0.30,5.86,2.66,-0.64,1.05,-0.73,0.81,-0.13,-0.21,1.09,-6.83,1.74,2.15,1.70,6.24,0.56,-0.77,0.63,-0.01,0.37,0.03,0.91,0.42,0.67,0.67,0.67,2.25,1.13,1.30,0.41,5.53,0.00,7.02,0.72,0.02,0.93,0.48,12.34,
frc7445,19.88,25.34,0.00,3.71,1.94,1.53,1.32,1.65,1.87,2.35,1.87,1.09,10.18,1.21,2.43,-0.96,2.16,-0.95,0.32,-0.31,0.80,1.57,0.68,1.84,1.72,1.75,3.62,0.84,0.09,0.66,0.75,0.59,-0.16,0.40,-0.19,0.67,0.67,0.67,1.50,1.11,0.89,-0.07,3.71,-0.05,15.37,0.97,-0.12,0.77,-0.33,19.88,
frc5171,26.18,29.50,0.00,4.47,1.37,1.96,2.13,3.88,1.97,0.89,2.21,1.06,10.57,-0.85,-1.19,0.35,3.59,1.76,2.97,0.89,-1.15,8.30,15.42,1.28,2.08,1.66,4.00,1.35,-0.32,0.80,0.05,0.49,-0.25,0.55,-0.13,0.67,0.67,0.67,1.50,1.63,1.68,1.00,4.47,0.05,22.87,0.24,0.03,0.29,0.14,26.18,
frc5849,11.37,26.84,0.00,2.32,0.31,1.33,1.11,0.72,0.16,2.18,2.30,2.49,5.51,-2.26,0.32,-0.32,0.51,1.03,-0.35,1.72,2.03,1.26,0.55,1.89,0.83,1.30,0.25,-0.88,1.01,-1.68,1.13,-0.62,0.42,-0.47,0.50,0.67,0.67,0.67,1.24,0.67,0.75,-0.34,2.32,0.10,7.02,-0.07,0.00,-0.43,0.11,11.37,
frc5499,22.30,20.33,0.00,2.84,1.62,0.61,1.24,-0.10,-1.06,1.15,1.42,0.92,11.58,2.80,-1.81,3.03,0.59,0.95,0.13,-0.49,-0.17,1.62,-3.63,1.16,1.95,1.61,6.42,1.03,2.87,1.52,2.96,1.60,2.09,0.70,2.12,0.67,0.67,0.67,0.89,0.88,1.11,0.52,2.84,-0.04,19.63,-0.11,0.71,0.64,0.52,22.30,
frc846,37.68,11.05,0.00,2.76,1.21,1.42,2.21,1.35,0.61,1.81,1.85,1.81,12.27,3.37,-0.93,2.65,4.45,4.34,4.58,-0.21,4.21,13.40,31.20,1.62,1.68,1.73,5.03,2.46,1.05,2.11,0.74,0.83,0.70,0.51,0.30,0.67,0.67,0.67,0.59,1.58,0.95,2.55,2.76,-0.06,30.71,-0.25,0.61,-0.22,0.54,37.68,
frc2854,17.82,20.65,0.00,5.45,1.49,1.76,1.57,0.97,0.81,1.79,1.34,1.81,4.77,1.11,-0.37,-0.24,0.93,1.37,0.72,1.07,2.70,3.04,-0.10,1.78,1.68,1.65,1.86,-0.41,-0.50,-0.09,-0.52,0.55,-0.22,0.88,-0.43,0.67,0.67,0.67,1.10,1.39,2.67,-0.21,5.45,0.09,9.67,-0.05,-0.20,0.02,-0.12,17.82,
frc604,37.72,15.85,0.00,5.15,2.05,2.45,2.26,3.18,3.52,1.52,1.68,0.89,12.69,-0.73,0.65,-0.46,3.63,4.39,4.10,-0.12,0.57,12.16,24.25,1.36,2.16,1.72,7.16,0.99,1.25,1.36,0.87,0.39,-0.31,-0.11,-0.25,0.67,0.67,0.67,1.46,2.45,1.43,1.80,5.15,-0.10,32.00,0.25,-0.10,0.12,0.02,37.72,
frc6238,16.16,15.90,0.00,5.09,0.98,1.05,0.97,0.88,1.13,1.46,1.53,1.58,5.56,-1.14,0.31,-0.51,0.44,0.02,0.60,0.37,1.66,1.06,-3.47,1.97,1.21,1.40,2.80,0.72,0.64,0.61,0.37,-0.21,0.46,0.00,0.33,0.67,0.67,0.67,2.18,1.92,1.52,0.27,5.09,-0.09,9.42,-0.13,-0.10,0.09,-0.17,16.16,
frc6418,17.91,11.13,0.00,4.68,1.89,2.47,1.75,1.41,1.71,1.94,1.74,2.66,9.68,-2.22,-1.33,-0.73,1.52,-0.14,1.93,0.40,0.20,3.29,-0.21,1.81,1.84,1.52,0.06,-0.47,0.24,-0.35,0.55,-0.03,0.13,-0.32,-0.20,0.67,0.67,0.67,1.51,2.12,1.21,0.56,4.68,-0.19,13.03,-0.23,-0.34,-0.16,-0.42,17.91,
frc2135,21.23,18.73,0.00,5.51,1.77,1.54,1.80,0.28,1.59,2.24,2.41,1.57,8.92,3.73,2.91,2.27,2.09,1.14,1.53,0.27,1.75,4.81,-1.54,1.14,1.77,1.80,0.24,-0.57,-0.43,-0.06,-0.47,-0.01,0.13,-0.02,0.14,0.67,0.67,0.67,3.03,0.98,1.83,0.42,5.51,0.22,13.98,0.22,0.52,0.16,0.38,21.23,
frc8,26.39,19.13,0.00,4.69,1.75,1.99,2.42,0.16,2.09,1.19,1.06,1.51,11.76,1.08,-1.34,0.59,-0.12,1.25,0.03,0.69,3.37,0.84,-2.94,1.77,1.33,1.28,5.74,1.03,0.75,2.02,1.44,0.59,0.32,0.49,1.23,0.67,0.67,0.67,1.86,1.53,1.34,0.68,4.69,-0.03,18.33,0.33,0.09,0.48,0.90,26.39,
frc766,16.31,21.64,0.00,5.48,0.90,1.21,-0.21,-0.12,0.03,-0.51,0.35,0.17,0.47,-0.43,1.68,-0.73,0.33,1.67,2.49,0.23,-0.96,4.55,7.21,1.60,1.72,1.69,6.77,1.02,1.45,0.51,1.29,0.61,0.42,0.54,0.52,0.67,0.67,0.67,1.85,1.34,2.75,0.36,5.48,-0.00,11.79,0.27,0.57,0.30,0.18,16.31,
frc254,34.42,13.05,0.00,4.99,1.44,1.01,0.93,-0.16,-0.68,1.35,1.05,0.93,15.56,12.02,6.31,6.25,2.17,1.83,0.69,0.27,0.53,4.67,3.08,1.56,1.48,1.66,8.66,1.75,1.66,2.74,1.27,2.22,1.92,2.05,2.32,0.67,0.67,0.67,2.45,1.08,1.98,1.70,4.99,0.06,28.89,1.42,1.71,1.55,1.56,34.42,
frc972,23.12,22.12,0.00,4.70,1.86,2.06,2.39,1.62,1.32,2.28,2.35,2.27,14.95,3.74,-1.46,2.85,2.00,-0.08,0.28,-0.04,-2.39,2.23,0.36,1.81,1.59,1.80,3.63,0.91,1.02,1.00,0.66,0.45,0.83,0.49,0.76,0.67,0.67,0.67,1.01,2.61,0.99,0.17,4.70,0.18,20.81,0.23,0.26,0.36,0.34,23.12,
frc199,20.52,20.51,0.00,4.33,0.77,1.25,0.94,1.35,0.31,2.01,1.60,1.95,6.51,3.99,-1.84,6.30,1.72,0.73,3.14,0.66,1.19,5.58,12.59,1.00,1.49,1.62,2.91,-0.23,1.42,-1.01,2.10,-0.86,0.71,-0.62,0.69,0.67,0.67,0.67,1.28,1.65,2.71,1.09,4.33,-0.07,15.00,-0.26,0.91,-0.55,1.02,20.52,
