Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc6854,8.89,20.03,0.00,2.45,0.47,0.56,0.84,0.20,0.01,0.95,0.42,0.62,-0.72,-2.96,-1.02,-1.06,2.25,1.01,0.52,-0.11,3.55,3.87,4.15,1.13,1.69,1.43,-0.27,0.63,-0.23,0.19,-0.09,-0.01,-0.26,-0.07,-0.49,0.67,0.67,0.67,1.66,-0.28,2.45,0.02,2.88,-0.47,-0.29,-0.40,-0.26,8.89,
frc5032,7.47,18.91,0.00,2.58,1.38,1.03,0.86,1.12,0.03,0.67,0.64,1.12,2.72,-0.72,-1.78,1.97,1.44,1.27,0.20,-0.04,-1.23,2.48,1.15,0.75,1.41,1.28,0.92,-0.92,0.47,-0.08,0.13,-0.33,0.54,-0.27,0.26,0.67,0.67,0.67,1.27,0.07,2.58,0.12,6.12,-0.29,0.20,-0.28,0.24,7.47,
frc4976,20.22,11.81,0.00,4.73,1.56,1.16,1.21,0.00,-0.07,1.30,1.57,1.18,5.19,4.74,1.42,1.24,2.22,2.80,3.79,0.19,-0.02,8.90,19.16,1.17,1.66,1.77,1.42,-0.08,0.36,0.13,0.28,-0.12,0.49,0.34,0.43,0.67,0.67,0.67,1.53,1.35,4.73,-0.05,15.50,0.02,0.54,0.03,0.58,20.22,
frc7022,12.41,17.17,0.00,2.97,1.72,2.02,1.52,0.08,1.27,1.73,1.78,1.28,7.25,1.58,1.44,1.02,0.15,1.48,1.00,-0.03,-0.64,2.17,-2.04,1.68,1.41,1.35,0.66,0.00,0.68,-0.12,0.58,-0.02,-0.10,-0.11,0.02,0.67,0.67,0.67,2.22,0.20,2.97,0.01,10.08,-0.13,0.03,-0.13,0.01,12.41,
frc5912,19.49,18.55,0.00,2.58,2.15,2.17,2.69,1.01,1.77,1.81,1.32,1.77,11.62,-0.26,-1.86,-0.31,-0.44,0.73,1.65,0.52,-0.20,1.52,-0.18,1.93,1.81,0.83,3.96,1.46,-0.31,2.53,-0.17,1.01,-0.27,0.69,-0.17,0.67,0.67,0.67,1.50,0.34,2.58,0.12,17.10,0.36,-0.14,0.41,-0.17,19.49,
frc4920,8.12,11.34,0.00,4.26,0.29,0.46,0.36,0.59,0.99,0.59,0.44,0.70,-0.42,0.86,-0.79,-0.54,1.26,1.33,1.03,-0.09,0.50,3.17,2.42,1.71,1.89,1.19,0.60,-0.36,0.76,-0.49,0.29,-0.43,0.57,-0.40,0.57,0.67,0.67,0.67,1.66,0.37,4.26,-0.03,3.35,-0.43,-0.07,-0.44,-0.07,8.12,
frc4069,19.00,13.54,0.00,3.42,1.07,1.46,0.83,0.80,1.39,1.51,1.23,0.96,4.26,0.19,-0.76,2.33,3.23,2.44,2.89,-0.25,0.65,8.70,16.21,1.75,1.95,1.33,1.97,-0.29,0.10,0.37,0.56,-0.19,0.19,0.01,0.12,0.67,0.67,0.67,0.71,1.02,3.42,0.02,14.93,-0.02,0.29,-0.19,0.30,19.00,
frc6330,6.50,23.89,0.00,1.19,0.83,0.65,1.19,-0.47,1.04,1.62,1.55,1.34,2.02,1.12,-0.22,-0.60,2.03,0.15,-0.81,-0.07,2.52,1.46,-1.14,1.19,1.08,0.87,-0.68,-0.21,0.05,-0.12,-0.06,-0.29,0.02,-0.36,-0.08,0.67,0.67,0.67,0.57,-0.06,1.19,0.04,2.80,-0.42,-0.28,-0.18,-0.25,6.50,
frc3683,32.62,13.61,0.00,5.29,1.32,1.06,1.07,1.49,2.80,0.75,0.92,1.41,12.91,10.19,4.22,3.86,0.34,2.57,2.47,-0.04,0.77,5.43,4.23,1.22,1.73,1.92,8.22,2.20,0.89,2.67,0.82,0.73,0.47,1.19,0.84,0.67,0.67,0.67,1.18,1.55,5.29,-0.05,26.56,1.46,0.72,1.28,0.58,32.62,
frc5672,9.84,21.39,0.00,3.85,0.89,0.62,1.72,1.08,0.73,1.50,1.94,1.60,4.51,2.11,1.58,-1.92,-0.18,1.07,-0.70,-0.11,0.16,0.26,-5.94,1.73,1.86,1.81,1.07,0.05,-0.61,0.69,0.11,-0.02,-0.47,0.08,-0.30,0.67,0.67,0.67,0.83,-0.18,3.85,0.18,5.84,0.22,-0.53,0.03,-0.49,9.84,
